Unnamed: 0,county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
2248,Paulding County,Georgia,True,2012,73994,7.0,7.8,8.6,7.0,5.7,5.6,7.0,8.5,9.7,8.1,6.0,4.6,4.8,3.1,2.8,2.4,0.7,0.6,70806,7.7,9.4,8.7,8.9,5.5,5.8,6.5,6.4,9.7,8.5,6.2,4.6,4.2,3.4,1.8,1.9,0.6,0.1
3030,Paulding County,Georgia,True,2013,75320,6.3,9.5,6.8,7.8,4.6,6.7,6.4,8.2,9.8,7.7,6.4,6.1,4.1,2.9,3.2,1.9,1.0,0.7,71630,7.2,8.3,8.9,8.7,5.8,5.7,6.1,8.7,8.0,7.8,7.3,5.7,4.3,2.2,3.1,0.9,0.5,0.9
3860,Paulding County,Georgia,True,2014,76553,6.7,9.4,7.3,5.9,6.9,5.5,7.6,6.6,9.6,7.3,6.6,5.6,5.0,3.9,2.2,2.7,0.8,0.4,72434,7.0,7.3,10.2,7.3,5.5,6.0,6.9,8.5,7.8,7.7,7.4,6.3,3.5,3.3,2.6,1.0,1.2,0.3
4156,Paulding County,Georgia,True,2015,77865,6.4,7.7,7.4,6.6,7.7,5.3,6.6,5.9,9.6,7.9,7.6,5.3,5.1,4.6,2.2,1.7,1.2,1.3,74373,6.1,8.5,8.6,8.2,6.2,6.9,6.2,9.2,6.4,8.0,6.5,6.5,4.1,3.1,2.4,1.2,1.7,0.1
305,Richmond County,Georgia,False,2010,104179,7.5,6.2,6.1,6.5,8.8,8.0,6.2,4.7,6.9,6.9,7.2,6.5,5.7,4.0,2.6,2.7,1.9,1.7,96826,8.0,7.2,6.2,8.1,9.4,8.6,6.6,5.0,7.4,6.3,7.0,5.4,5.2,3.0,2.8,1.6,1.0,1.1
1379,Richmond County,Georgia,False,2011,103551,7.1,5.5,7.0,6.6,8.0,8.2,6.8,5.9,6.4,6.3,6.8,7.7,4.3,3.8,3.3,1.8,2.6,1.8,97666,7.7,7.5,6.3,7.9,9.6,9.0,6.9,6.4,5.0,6.1,6.7,5.9,5.1,3.3,2.7,1.9,1.4,0.6
2249,Richmond County,Georgia,False,2012,104336,7.3,6.5,6.2,5.9,8.8,8.4,7.1,6.1,5.2,6.1,6.9,6.5,5.4,4.8,2.7,2.5,1.8,1.6,98251,7.6,6.6,7.0,8.1,9.2,9.0,7.0,5.2,6.1,5.9,6.8,6.1,4.9,3.7,2.8,1.9,1.1,0.9
3031,Richmond County,Georgia,False,2013,104148,7.2,6.1,6.2,5.8,8.3,8.8,6.9,6.5,4.6,6.1,7.0,6.8,6.0,4.8,2.7,2.0,2.0,2.0,97855,7.1,6.5,7.6,7.6,9.1,8.6,7.4,6.3,5.3,5.9,6.9,6.6,4.6,3.8,2.9,1.8,1.3,0.7
3861,Richmond County,Georgia,False,2014,104758,6.9,4.8,7.4,6.6,7.8,8.6,7.2,5.7,5.5,5.6,6.6,6.1,6.8,5.6,2.5,2.6,1.7,2.1,96610,7.5,6.9,6.2,8.2,9.8,8.7,7.2,4.4,6.5,5.7,6.8,6.2,5.3,3.9,2.7,1.4,1.4,1.2
4157,Richmond County,Georgia,False,2015,104422,6.5,6.8,5.7,6.2,7.4,8.8,7.1,6.7,4.8,5.7,6.4,6.9,6.2,5.5,3.1,2.9,2.3,1.1,97371,7.4,7.0,6.4,7.5,9.1,9.4,8.1,6.1,5.1,5.3,6.1,6.4,5.2,4.1,3.0,1.7,1.5,0.8
306,Rockdale County,Georgia,True,2010,44126,6.4,7.3,8.2,6.0,6.0,4.9,6.7,6.9,7.3,8.0,7.5,6.4,6.6,4.4,2.0,2.3,2.3,1.0,41308,7.3,6.6,8.7,9.2,7.8,4.6,5.4,5.9,8.0,7.0,6.9,7.3,6.0,3.6,2.1,1.9,0.9,0.8
1380,Rockdale County,Georgia,True,2011,44182,6.5,7.2,6.8,7.7,4.9,5.6,5.5,6.4,8.6,8.5,7.5,6.7,6.0,4.5,2.1,2.3,1.7,1.6,41583,6.8,6.2,9.4,9.6,4.5,6.6,6.0,4.2,7.8,7.6,8.1,7.1,6.2,4.5,2.1,1.9,0.7,0.5
2250,Rockdale County,Georgia,True,2012,45624,6.8,7.1,6.4,7.3,8.1,3.9,4.8,4.9,10.0,7.9,7.7,6.9,5.5,4.5,3.0,2.2,1.6,1.3,40196,5.6,7.2,9.2,8.5,8.9,3.0,6.7,5.8,6.8,7.6,6.9,7.7,5.3,4.0,3.4,1.6,1.4,0.5
3032,Rockdale County,Georgia,True,2013,45590,6.3,6.7,6.6,9.1,5.0,5.6,5.4,7.3,6.1,8.1,7.5,8.3,4.8,5.1,2.5,2.1,1.9,1.5,41329,3.6,10.6,7.1,10.3,6.5,5.6,4.5,5.7,7.4,8.2,6.4,5.6,7.4,4.4,3.5,2.1,0.4,0.8
3862,Rockdale County,Georgia,True,2014,45521,4.9,7.4,6.8,6.4,6.8,5.5,4.8,7.9,6.8,7.7,8.1,8.0,5.0,6.3,3.2,2.2,0.6,1.6,42233,6.1,7.2,10.0,10.3,4.9,6.4,4.6,8.7,5.9,5.2,7.0,6.0,6.6,5.3,2.9,1.9,0.6,0.4
4158,Rockdale County,Georgia,True,2015,47044,5.6,6.2,8.2,6.1,7.1,5.0,6.1,8.0,5.8,6.8,7.6,6.1,6.9,4.5,4.5,2.5,0.8,1.9,41812,5.8,7.4,8.2,8.5,8.3,4.8,4.7,5.5,7.4,6.6,7.2,8.1,5.5,4.3,4.2,2.0,0.5,0.9
307,Troup County,Georgia,True,2010,34380,6.2,6.5,7.2,9.0,6.1,4.7,5.2,7.3,6.6,7.2,7.4,6.1,6.2,4.4,1.9,2.8,1.5,3.6,32807,9.0,8.7,6.0,6.7,9.6,4.8,5.2,6.4,7.0,7.0,7.4,6.1,6.2,4.0,2.4,1.6,0.4,1.6
1381,Troup County,Georgia,True,2011,34792,6.0,6.8,7.7,5.8,7.5,6.6,6.1,6.8,6.1,7.2,6.8,5.4,6.8,4.5,2.8,3.3,1.8,2.1,32972,8.5,10.1,4.9,7.7,7.3,6.1,5.0,6.0,8.2,7.0,6.4,8.1,4.0,4.3,2.4,1.9,1.3,0.6
2251,Troup County,Georgia,True,2012,35099,5.4,7.8,5.8,6.8,7.1,6.4,6.7,4.0,8.4,6.7,7.0,8.1,4.5,5.1,2.7,2.1,2.1,3.2,33369,9.1,8.4,7.2,6.1,9.3,5.3,5.7,5.0,6.7,7.4,7.1,7.0,5.3,4.1,2.7,1.5,1.4,0.7
3033,Troup County,Georgia,True,2013,35951,9.1,8.1,4.9,5.1,7.7,6.1,6.4,6.3,5.7,7.4,6.5,6.3,5.6,4.2,4.0,3.7,1.5,1.4,33102,4.5,7.5,8.8,11.3,5.6,7.0,6.3,3.9,7.7,7.3,6.1,7.3,5.5,4.6,2.4,2.0,1.4,0.9
3863,Troup County,Georgia,True,2014,36489,5.7,5.3,8.5,9.4,7.4,4.5,7.0,5.5,5.8,6.2,6.6,6.8,5.6,4.0,3.8,3.7,2.4,1.6,32980,7.6,7.4,7.9,6.3,9.1,5.7,7.6,5.8,6.9,4.8,6.7,5.6,6.5,4.0,3.5,1.9,2.1,0.7
4159,Troup County,Georgia,True,2015,36698,6.0,6.5,8.8,6.1,6.6,7.3,5.4,6.8,5.5,6.1,6.8,5.5,7.4,5.6,2.4,1.6,3.2,2.3,33065,6.5,5.8,9.9,8.2,7.0,8.0,4.5,7.4,5.7,6.8,6.1,6.7,5.1,4.8,3.5,2.1,1.0,0.9
